,stats,lats,lons
69,KICT,37.65472222222222,-97.44277777777778
70,KICX,37.590833333333336,-112.86222222222221
71,KILN,39.42027777777778,-83.82166666666666
72,KILX,40.150555555555556,-89.33694444444444
73,KIND,39.7075,-86.28027777777778
74,KINX,36.175,-95.56472222222222
75,KIWA,33.28916666666667,-111.67
76,KIWX,41.35888888888889,-85.7
77,KJAX,30.484722222222224,-81.70194444444445
78,KJGX,32.67527777777777,-83.35111111111111
79,KJKL,37.590833333333336,-83.31305555555555
80,KLBB,33.65416666666667,-101.81416666666667
81,KLCH,30.12527777777778,-93.21583333333334
82,KLGX,47.13,-124.09972222222221
83,KLNX,41.95777777777778,-100.57638888888889
84,KLOT,41.60472222222222,-88.08472222222221
85,KLRX,40.73972222222222,-116.80277777777778
86,KLSX,38.69888888888889,-90.68277777777779
87,KLTX,33.989444444444445,-78.42888888888889
88,KLVX,37.97527777777778,-85.94388888888889
89,KLWX,38.97527777777778,-77.47777777777777
90,KLZK,34.83638888888889,-92.26222222222222
91,KMAF,31.943333333333335,-102.18916666666667
92,KMAX,42.08111111111111,-122.71722222222222
93,KMHX,34.77611111111111,-76.8761111111111
94,KMKX,42.967777777777776,-88.55055555555555
95,KMLB,28.113333333333333,-80.65416666666667
96,KMOB,30.679444444444446,-88.23972222222223
97,KMPX,44.848888888888894,-93.56555555555555
98,KMQT,46.53111111111111,-87.54833333333333
99,KMRX,36.16861111111111,-83.40166666666667
100,KMSX,47.04111111111111,-113.98611111111111
101,KMTX,41.26277777777778,-112.44777777777779
102,KMUX,37.155277777777776,-121.89833333333334
103,KMVX,47.52777777777778,-97.32555555555555
104,KNKX,32.91888888888889,-117.04194444444444
105,KNQA,35.344722222222224,-89.87333333333332
106,KOAX,41.32027777777778,-96.36666666666666
107,KOHX,36.24722222222222,-86.5625
108,KOKX,40.86555555555556,-72.86388888888888
109,KOTX,47.680277777777775,-117.62666666666667
110,KPAH,37.068333333333335,-88.77194444444444
111,KPBZ,40.531666666666666,-80.21805555555555
112,KPDT,45.690555555555555,-118.85277777777777
113,KPOE,31.155555555555555,-92.97583333333334
114,KPUX,38.45944444444445,-104.18138888888889
115,KRGX,39.75416666666667,-119.46222222222222
116,KRIW,43.066111111111105,-108.47722222222222
117,KRLX,38.31111111111111,-81.72305555555556
118,KRTX,45.71472222222223,-122.96527777777779
119,KSFX,43.10583333333334,-112.68611111111112
120,KSGF,37.23527777777778,-93.40055555555556
121,KSHV,32.450833333333335,-93.84138888888889
122,KSJT,31.37138888888889,-100.4925
123,KSOX,33.81777777777778,-117.63583333333334
124,KSRX,35.29055555555556,-94.36166666666666
125,KTBW,27.705555555555556,-82.40166666666667
126,KTFX,47.459722222222226,-111.38527777777779
127,KTLH,30.3975,-84.32888888888888
